file_name,term_index,term,class,generalizations,wiki,dbpedia,rdf_type,generalizations2,generalizations3,generalizations4
actor_1112.xml,0,james_eugene_carrey,ACTOR,"['eugene_carrey', 'carrey']",NONE,NONE,NONE,[],"['1962 births', '20th-century Canadian male actors', '20th-century Canadian male writers', '20th-century Canadian writers', '21st-century American comedians', '21st-century American male actors', '21st-century Canadian male actors', 'All Wikipedia articles written in Canadian English', 'All articles with dead external links', 'All articles with unsourced statements', 'American cartoonists', 'American film producers', 'American impressionists (entertainers)', 'American male comedians', 'American male comedy actors', 'American male film actors', 'American male screenwriters', 'American male television actors', 'American male voice actors', 'American people of French descent', 'American people of Irish descent', 'American people of Scottish descent', 'American sketch comedians', 'American stand-up comedians', 'American television writers', 'Anti-vaccination activists', 'Articles with dead external links from August 2014', 'Articles with hCards', 'Articles with inconsistent citation formats', 'Articles with short description', 'Articles with unsourced statements from November 2016', 'Best Drama Actor Golden Globe (film) winners', 'Best Musical or Comedy Actor Golden Globe (film) winners', 'Biography with signature', 'Canadian cartoonists', 'Canadian emigrants to the United States', 'Canadian film producers', 'Canadian impressionists (entertainers)', 'Canadian male comedians', 'Canadian male film actors', 'Canadian male television actors', 'Canadian male voice actors', 'Canadian people of French descent', 'Canadian people of Irish descent', 'Canadian people of Scottish descent', 'Canadian screenwriters', 'Canadian sketch comedians', 'Canadian stand-up comedians', 'Canadian television writers', 'Comedians from Toronto', 'Infobox person using residence', 'Living people', 'Male actors from Ontario', 'Male actors from Toronto', 'Male motion capture actors', 'Male television writers', 'Method actors', 'Pages using infobox person with unknown parameters', 'Pages which use embedded infobox templates with the title parameter', 'People from Burlington, Ontario', 'People from Newmarket, Ontario', 'People from Scarborough, Toronto', 'People with acquired American citizenship', 'Transcendental Meditation practitioners', 'Turner Classic Movies person ID same as Wikidata', 'Use Canadian English from August 2019', 'Use mdy dates from August 2019', 'Webarchive template wayback links', 'Wikipedia articles with BIBSYS identifiers', 'Wikipedia articles with BNE identifiers', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with CANTIC identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with ISNI identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with MusicBrainz identifiers', 'Wikipedia articles with NKC identifiers', 'Wikipedia articles with NTA identifiers', 'Wikipedia articles with SNAC-ID identifiers', 'Wikipedia articles with SUDOC identifiers', 'Wikipedia articles with Trove identifiers', 'Wikipedia articles with VIAF identifiers', 'Wikipedia articles with WorldCat-VIAF identifiers', 'Wikipedia indefinitely move-protected pages', 'Wikipedia indefinitely semi-protected biographies of living people']",NONE
actor_1112.xml,1,"january_17_,_1962",DATE,"['17_,_1962', ',_1962', '1962']",NONE,NONE,NONE,NONE,NONE,NONE
actor_1112.xml,2,a_canadian_-_american_actor,NONE,"['canadian_-_american_actor', '-_american_actor', 'american_actor', 'actor']",NONE,NONE,NONE,[],[],NONE
actor_1112.xml,3,comedian,NONE,[],NONE,NONE,NONE,[],"['All articles covered by WikiProject Wikify', 'All pages needing cleanup', 'Articles covered by WikiProject Wikify from September 2019', 'Articles with limited geographic scope from September 2019', 'Articles with short description', 'Comedians', 'Comedy', 'Comedy theatre', 'Commons category link is on Wikidata', 'Entertainment occupations', 'Stand-up comedy', 'United Kingdom-centric', 'Wikipedia introduction cleanup from September 2019']",NONE
actor_1112.xml,4,impressionist,NONE,[],NONE,NONE,NONE,[],[],NONE
actor_1112.xml,5,screenwriter,NONE,[],NONE,NONE,NONE,[],"['Articles with short description', 'Commons category link is on Wikidata', 'Filmmaking occupations', 'Media occupations', 'Screenwriters', 'Use dmy dates from September 2019', 'Wikipedia articles with BNE identifiers', 'Wikipedia articles with BNF identifiers', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with SUDOC identifiers', 'Writing occupations']",NONE
actor_1112.xml,6,musician,NONE,[],NONE,NONE,NONE,[],"['All articles with vague or ambiguous time', 'Articles with hAudio microformats', 'Commons category link is on Wikidata', 'Entertainment occupations', 'Musicians', 'Occupations in music', 'Use dmy dates from May 2018', 'Vague or ambiguous time from April 2019', 'Wikipedia articles needing clarification from April 2019', 'Wikipedia articles with GND identifiers', 'Wikipedia articles with LCCN identifiers', 'Wikipedia articles with NDL identifiers']",NONE
actor_1112.xml,7,producer,NONE,[],NONE,NONE,NONE,[],[],NONE
actor_1112.xml,8,painter,NONE,[],NONE,NONE,NONE,[],[],NONE
actor_1112.xml,9,his_energetic_slapstick_performances,NONE,"['energetic_slapstick_performances', 'slapstick_performances', 'performances']",NONE,NONE,NONE,[],[],NONE
